osm_id;X;Y;website;addr:country;wheelchair;phone;opening_hours;name;atm;amenity;addr:street;addr:postcode;addr:housenumber;addr:city;branchManager;insuranceContact;achievement;employees;foundingYear
338929629;6.439914;51.1979546;https://www.santander.de/;DE;limited;;;Santander;yes;bank;Bismarckstraße;41061;84;Mönchengladbach;Frank Meyer;Laura König;81;24;1978
358077746;12.3746196;51.3445424;https://www.santander.de/;;;;;Santander;;bank;;;;;Stefan Neumann;Sarah Hoffmann;34;7;2007
359106458;11.6307366;52.1282759;https://www.santander.de/;;limited;+49 391 568370;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Otto-von-Guericke-Straße;39104;86a;Magdeburg;Sabine Neumann;Martin Fischer;88;27;1969
361237926;10.4276661;51.9070063;https://www.santander.de/;;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Hokenstraße;38640;18;Goslar;Claudia Wolf;Daniel Schröder;76;16;1984
368395968;9.9531331;52.15237;;DE;yes;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Rathausstraße;31134;15;Hildesheim;Peter Wagner;Katrin Schmitz;90;25;1965
383206718;11.4650622;53.8933345;;DE;;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;;bank;Krämerstraße;23966;25;Wismar;Max Mustermann;Birgit Krause;59;14;1993
413475625;9.2141051;49.1423838;https://www.santander.de/;DE;yes;;;Santander;yes;bank;Bahnhofstraße;74072;1;Heilbronn;Robert Weber;Stefanie Müller;83;26;1972
415628218;8.5333221;48.0635208;https://www.santander.de/;DE;limited;+49 7720 3904 0;"Mo 09:30-13:00,14:00-18:00; Tu,Th 09:00-13:00,14:00-18:00; We,Fr 09:00-13:00,14:00-16:00; PH off";Santander;yes;bank;Kronenstraße;78054;38;Villingen-Schwenningen;Jennifer Schmidt;Tim Weber;95;31;1954
431258897;6.8480286;51.2965143;https://www.santanderbank.de/;;no;;"Mo-Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00; Sa-Su off";Santander Bank Filiale Ratingen;yes;bank;;;;;Alexander Wagner;Sandra Braun;63;18;1989
438392938;9.1740323;47.6615309;;;yes;;Mo-Th 09:30-13:00, Fr 09:00-14:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00;Santander;yes;bank;;;;;Julia Weber;Oliver Müller;72;20;1979
439234898;13.6255293;52.4553097;;DE;limited;;Mo-Th 09:00-13:00, We 14:00-16:00, Mo,Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;yes;bank;Bölschestraße;12587;63;Berlin;Thorsten Keller;Lisa Schneider;48;15;1997
440072689;8.0169334;50.8719548;https://www.santander.de/;DE;no;;;Santander;yes;bank;Koblenzer Straße;57072;45;Siegen;Karin Schmidt;Jan Hoffmann;84;22;1977
447082786;6.6929048;51.1976593;;DE;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; Sa,Su,PH off";Santander;yes;bank;Oberstraße;41460;130;Neuss;Patrick Neumann;Nina Becker;70;19;1981
447974643;10.3296791;52.1541973;https://www.santander.de/;DE;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;In den Blumentriften;38226;21;Salzgitter;Silvia Wolf;Daniela Koch;56;14;1990
456131694;10.6852767;53.8642863;;DE;limited;;Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;yes;bank;Klingenberg;23552;6;Lübeck;Dennis Fischer;Matthias Hoffmann;91;28;1958
517399417;7.4737752;51.5151106;https://www.santander.de/;;yes;;;Santander;;atm;;;;;Ralf Meyer;Susanne Bergmann;42;6;2003
517708647;7.0109137;51.4533734;https://www.santander.de/;DE;;4920117010;"Mo-Tu, Th 09:00-13:00, 14:00-18:00; We 09:00-13:00, 14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Lindenallee;45127;6-8;Essen;Markus Schulz;Petra Lange;97;35;1950
522408842;13.7380866;51.0455696;;;;;;Santander;yes;bank;;;;;Christian Maier;Monika Huber;36;9;2004
534347453;6.5632541;51.3332772;https://www.santander.de/;DE;yes;;Mo-Fr 09:30-13:00, Mo,Tu,Th 14:00-19:00, We,Fr 14:00-16:00;Santander;yes;bank;Rheinstraße;47798;109;Krefeld;Susanne Wagner;Thomas Müller;74;21;1975
540373065;7.5239687;51.6113935;https://www.santanderbank.de/;DE;;;;Santander;yes;bank;Lange Straße;44532;76;Lünen;Andreas Klein;Nicole Bauer;80;23;1971
549990578;6.9515085;50.9391393;https://www.santanderbank.de/;DE;yes;;"Mo-Th 08:30-13:00,14:00-19:00; Fr 08:30-16:00";Santander;yes;bank;Breite Straße;50667;40-46;Köln;Frank Meyer;Laura König;96;38;1953
596481184;7.099528;50.7373096;https://www.santander.de;DE;;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; Sa off; Su off";Santander;yes;bank;Oxfordstraße;53111;15;Bonn;Stefan Neumann;Sarah Hoffmann;89;27;1964
610944143;13.0559519;52.400274;https://www.santander.de/;DE;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Jägerstraße;14467;17-18;Potsdam;Sabine Neumann;Martin Fischer;73;22;1986
633535694;10.7885786;52.4238349;;DE;yes;;Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00, Fr 09:00-14:00;Santander;yes;bank;Porschestraße;38440;35 a;Wolfsburg;Claudia Wolf;Daniel Schröder;66;18;1983
634434286;10.8892733;48.3649403;https://www.santander.de/;DE;limited;;;Santander;;bank;Halderstraße;86150;27;Augsburg;Peter Wagner;Katrin Schmitz;78;24;1973
667757013;6.9949618;49.2377206;https://www.santander.de/;;yes;;"Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-19:00, We 14:00-16:00; PH,Sa,Su off, Fr 09:00-14:00";Santander;yes;bank;Sulzbachstraße;66111;16-18;Saarbrücken;Max Mustermann;Birgit Krause;87;29;1959
671492027;10.3167944;47.7258279;;;;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;;bank;;;;;Robert Weber;Stefanie Müller;51;12;1998
805654296;7.1980389;51.6137387;https://www.santanderbank.de/;DE;yes;;;Santander;yes;bank;Breite Straße;45657;1;Recklinghausen;Jennifer Schmidt;Tim Weber;82;26;1970
854366839;12.9269554;50.8378677;https://www.santander.de/;;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Carolastraße;9111;1;Chemnitz;Alexander Wagner;Sandra Braun;94;32;1955
899587675;7.3373741;51.4382363;;;yes;;"Mo-Tu,Fr 09:30-13:00,14:00-19:00; We,Fr 09:30-13:00,14:00-16:00; PH off";Santander;yes;bank;;;;;Julia Weber;Oliver Müller;49;13;1999
908158405;13.3408648;52.5049536;;DE;yes;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Budapester Straße;10787;37;Berlin;Thorsten Keller;Lisa Schneider;98;37;1951
919870298;12.4962085;50.7165643;;DE;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;;bank;Kornmarkt;8056;7;Zwickau;Karin Schmidt;Jan Hoffmann;60;17;1994
924255275;8.6779379;50.1129513;;;yes;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;separate;bank;;;;;Patrick Neumann;Nina Becker;77;25;1966
944676520;8.4131894;49.9921539;https://www.santander.de/;DE;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;;bank;Bahnhofstraße;65428;47-49;Rüsselsheim am Main;Silvia Wolf;Daniela Koch;71;19;1982
965180451;8.052576;52.268008;https://www.santander.de/;;limited;;;Santander;yes;bank;Johannisstraße;49074;115;Osnabrück;Dennis Fischer;Matthias Hoffmann;85;23;1968
1007094923;8.3954101;49.0116146;;DE;;+49 721 18170;"We 09:00-13:00,14:00-16:00; Mo,Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Karlstraße;76133;3-5;Karlsruhe;Ralf Meyer;Susanne Bergmann;93;30;1956
1115753185;8.5271092;50.1189722;http://www.santanderbank.de/;DE;yes;+49 69 3140670;"Mo-Th 10:00-20:00; Fr-Sa 10:00-22:00";Santander;yes;bank;Main-Taunus-Zentrum;65843;;Sulzbach (Taunus);Markus Schulz;Petra Lange;99;42;1952
1195278593;7.7696416;49.4428046;www.santander.de;;yes;0631 3709230;"Mo, Tu, Th 09:00-13:00, 14:00-18:00; We 09:00-13:00, 14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Riesenstraße;67655;6;Kaiserslautern;Christian Maier;Monika Huber;79;24;1975
1236112793;8.916959;50.1355128;;;yes;;;Santander;yes;bank;Am Freiheitsplatz;63450;14;Hanau;Susanne Wagner;Thomas Müller;81;21;1979
1250752790;8.2142989;53.1405223;https://www.santander.de/;DE;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Schüttingstraße;26122;9;Oldenburg;Andreas Klein;Nicole Bauer;86;28;1960
1369953488;7.0075135;51.4947543;https://www.santanderbank.de/;DE;limited;;;Santander;;bank;Vogelheimer Straße;45326;7;Essen;Frank Meyer;Laura König;43;10;2002
1580758642;7.001776;50.9379298;https://www.santanderbank.de/;DE;yes;;Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;yes;bank;Kalker Hauptstraße;51103;135;Köln;Stefan Neumann;Sarah Hoffmann;75;23;1972
1596404490;7.0117673;51.4485826;;;no;;24/7;Santander;;atm;;;;;Sabine Neumann;Martin Fischer;30;5;2006
1645535901;7.629517;51.9630309;;;yes;;Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00, Fr 09:00-14:00;Santander;yes;bank;;;;;Claudia Wolf;Daniel Schröder;84;26;1967
1652825770;13.2651003;53.5572358;;DE;yes;;"Mo,Tu,Th 09:00-13:00, 14:00-18:00, We 09:00-13:00, 14:00-16:00; Fr 09:00-14:00; Sa, PH off";Santander;yes;bank;Turmstraße;17033;23;Neubrandenburg;Peter Wagner;Katrin Schmitz;88;27;1963
1652876520;11.5857396;50.9262226;;;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Grietgasse;7743;22;Jena;Max Mustermann;Birgit Krause;72;20;1985
1653701948;12.2461249;51.8375784;https://www.santander.de/;;limited;;;Santander;;bank;Zerbster Straße;6844;32;Dessau-Roßlau;Robert Weber;Stefanie Müller;62;16;1987
1659576693;13.6014816;52.5383083;https://www.santander.de/;DE;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; PH off";Santander;;bank;Senftenberger Straße;12627;1;Berlin;Jennifer Schmidt;Tim Weber;90;31;1958
1676270879;8.6970848;48.8916365;;;limited;;Mo-Th 09:00-13:00, Fr 09:00-14:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00;Santander;;bank;Westliche Karl-Friedrich-Straße;75172;47;Pforzheim;Alexander Wagner;Sandra Braun;67;18;1986
1693838234;12.3711373;51.3349146;https://www.santander.de/;;no;;"Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;;;;;Julia Weber;Oliver Müller;76;23;1974
1796618153;9.478566;47.6502218;;DE;yes;;"Mo,Tu,Th 09:00-13:00,14:00-19:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Karlstraße;88045;19;Friedrichshafen;Thorsten Keller;Lisa Schneider;83;25;1969
1826629311;9.7067851;52.3735699;;;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00";Santander;yes;bank;;;;;Karin Schmidt;Jan Hoffmann;54;14;1994
1859967244;8.5726074;50.0501305;;;yes;;;Santander;;atm;;;;;Patrick Neumann;Nina Becker;33;5;2009
2099642244;8.8931345;53.0809338;;;yes;;;Santander;yes;bank;;;;;Silvia Wolf;Daniela Koch;89;28;1962
2135388074;8.5316005;52.0234881;https://www.santander.de/;DE;yes;;Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00, Fr 09:00-14:00;Santander;yes;bank;Alfred-Bozi-Straße;33602;23;Bielefeld;Dennis Fischer;Matthias Hoffmann;92;34;1957
2139861400;13.3122429;52.4989785;;DE;no;;;Santander;;atm;Konstanzer Straße;10707;;Berlin;Ralf Meyer;Susanne Bergmann;35;6;2004
2283633962;8.8089865;53.0779043;https://www.santander.de/;;yes;;"Fr 09:00-14:00; Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00";Santander;;bank;;;;;Markus Schulz;Petra Lange;78;24;1976
2286146992;9.7343651;52.3756984;;;;;;Santander;;bank;;;;;Christian Maier;Monika Huber;41;9;2000
2288826039;8.4362536;49.3164233;;DE;;;;Santander;yes;bank;Schulergasse;67346;2;Speyer;Susanne Wagner;Thomas Müller;64;17;1991
2428577591;9.9883179;53.5574309;;;yes;;"Sa,Su,PH off; Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;;;;;Andreas Klein;Nicole Bauer;85;26;1965
2473836529;7.596651;50.3591564;;;limited;;;Little Leo;;;;;;;Frank Meyer;Laura König;29;4;2010
2499471193;13.262619;52.4381214;;DE;yes;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Clayallee;14169;328 - 334;Berlin;Stefan Neumann;Sarah Hoffmann;97;35;1954
2527949748;9.7461594;52.3666668;;;limited;;"Fr 09:00-14:00; Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00";Santander;yes;bank;;;;;Sabine Neumann;Martin Fischer;69;19;1983
2537571202;8.4653351;49.4882789;https://www.santander.de/;;yes;;"Mo,Tu,Th 09:00-13:00,14:00-19:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;;;;;Claudia Wolf;Daniel Schröder;82;25;1971
2610201716;11.4599061;48.1476299;https://www.mux.de/Santander-Consumer-Bank-Gleichmannstr;;yes;;Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00, Fr 09:00-14:00;Santander;;bank;;;;;Peter Wagner;Katrin Schmitz;55;13;1997
2656691851;7.944423;48.4711248;;;limited;;;Santander;;bank;;;;;Max Mustermann;Birgit Krause;46;11;1999
2678433116;10.2153597;53.4863131;;;;;"Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;;;;;Robert Weber;Stefanie Müller;73;22;1981
2720879104;12.2461808;51.8375521;;;;;;Santander;;atm;;;;;Jennifer Schmidt;Tim Weber;28;5;2008
2815323153;11.0872817;47.4932343;;DE;yes;;;Santander;yes;bank;Marienplatz;82467;2a;Garmisch-Partenkirchen;Alexander Wagner;Sandra Braun;91;29;1961
2848210962;10.0945413;48.8388738;;;;;Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;;bank;;;;;Julia Weber;Oliver Müller;57;15;1992
2855697929;13.3401192;50.9156431;https://www.santander.de/;DE;;;Mo-Th 09:00-13:00, Fr 09:30-14:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00;Santander;yes;bank;Petersstraße;9599;"36;38";Freiberg;Thorsten Keller;Lisa Schneider;84;27;1967
2857236263;9.9833877;54.0745146;;;;;;Santander;yes;bank;;;;;Karin Schmidt;Jan Hoffmann;61;16;1989
2986872236;9.9421773;53.5519804;;DE;yes;;;;;atm;Große Bergstraße;22767;219;Hamburg;Patrick Neumann;Nina Becker;39;7;2003
3004051595;8.6779089;50.112925;;;yes;;24/7;Santander;;atm;;;;;Silvia Wolf;Daniela Koch;32;5;2007
3068975933;10.6946791;50.6111499;;;no;;;Santander;yes;bank;;;;;Dennis Fischer;Matthias Hoffmann;47;10;1995
3076837766;8.5760203;53.5477634;;DE;;;;Santander;yes;bank;Lloydstraße;27568;31;Bremerhaven;Ralf Meyer;Susanne Bergmann;75;23;1978
3141683217;9.9964223;48.398279;https://www.santander.de/;;yes;;"Mo-Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-13:00";Santander;yes;bank;;;;;Markus Schulz;Petra Lange;88;28;1966
3167658080;13.4251445;52.4869924;https://www.santander.de/;DE;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Hermannplatz;10967;5-6;Berlin;Christian Maier;Monika Huber;96;36;1953
3170531886;12.9625578;48.8301927;;DE;;;Mo-Fr 09:30-13:00, Mo,Tu,Th 14:00-19:00, We,Fr 14:00-16:00;Santander;yes;bank;Pferdemarkt;94469;12;Deggendorf;Susanne Wagner;Thomas Müller;70;19;1984
3182848871;6.8433285;51.0924177;https://www.santander.de/;DE;;;"Mo-Th 09:00-13:00,14:00-19:00; We,Fr 09:00-13:00,14:00-16:00";Santander;yes;bank;Kölner Straße;41539;57;Dormagen;Andreas Klein;Nicole Bauer;83;27;1970
3213343095;8.6873923;49.4061174;;;yes;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Kurfürsten-Anlage;69115;19/1;Heidelberg;Frank Meyer;Laura König;89;30;1964
3235852712;13.7380374;51.0455843;;;;;;Santander;;atm;;;;;Stefan Neumann;Sarah Hoffmann;26;6;2010
3247754394;7.4586905;50.4275127;https://www.santander.de/privatkunden/;;;;;Santander;yes;bank;;;;;Sabine Neumann;Martin Fischer;58;15;1990
3263821234;8.0426199;52.8466611;;;yes;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; PH,Sa,Su off";Santander;;bank;;;;;Claudia Wolf;Daniel Schröder;76;22;1977
3386132024;7.6865553;51.534382;https://www.santander.de/;DE;;;Mo,Tu,Th 09:00-13:00,14:00-18:00, Mo 09:00-13:00,14:00-16:00, Fr 09:00-14:00;Santander;yes;bank;Massener Straße;59423;30;Unna;Peter Wagner;Katrin Schmitz;81;24;1973
3396546080;13.7316895;51.0416362;;;yes;;Mo-Th 09:00-13:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00, Fr 09:00-14:00;Santander;;bank;;;;;Max Mustermann;Birgit Krause;53;12;1993
3428606332;8.7617255;50.8061702;;;yes;;"Mo-Th 09:00-13:00,14:00-19:00; We,Fr 09:00-13:00,14:00-16:00";Santander;yes;bank;;;;;Robert Weber;Stefanie Müller;79;25;1974
3448821566;12.0794713;50.8791768;;;;;;Santander;;bank;Puschkinplatz;7545;7;Gera;Jennifer Schmidt;Tim Weber;63;16;1988
3472691391;8.7616911;50.8061475;;;yes;;24/7;Santander Consumer Bank;;atm;;;;;Alexander Wagner;Sandra Braun;31;5;2006
3494855190;12.1237568;47.8564006;;;;;;Santander;;bank;;;;;Julia Weber;Oliver Müller;44;11;2001
3499305157;6.6232202;51.6573684;https://www.santander.de/;;;;;Santander;yes;bank;;;;;Thorsten Keller;Lisa Schneider;59;14;1990
3545021022;7.2205761;51.5424047;https://www.santander.de/;DE;;;;Santander;yes;bank;Bahnhofstraße;44623;75;Herne;Karin Schmidt;Jan Hoffmann;86;27;1969
3578287366;6.9640239;51.6624355;;DE;yes;;"Mo,Tu,Th 09:30-13:00,14:00-19:00; We,Fr 09:30-13:00,14:00-16:00; PH off";Santander;;bank;Lippestraße;46282;31;Dorsten;Patrick Neumann;Nina Becker;73;20;1979
3650493643;8.6674609;50.5829693;;DE;;;;Santander;yes;bank;Bahnhofstraße;35390;62-64;Gießen;Silvia Wolf;Daniela Koch;92;31;1960
3658364025;8.7649513;50.1041593;;;;;;;;;;;;;Dennis Fischer;Matthias Hoffmann;27;4;2009
3683457170;12.1248854;54.0884671;;;limited;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00; PH off";Santander;no;bank;;;;;Ralf Meyer;Susanne Bergmann;69;18;1982
3728096613;9.2136882;48.8043359;;;;;"Mo,Tu,Th 09:30-13:00,14:00-19:00; We,Fr 09:30-13:00,14:00-16:00";Santander;yes;bank;Marktstraße;70372;39;Stuttgart;Markus Schulz;Petra Lange;94;33;1956
3732059930;7.5683983;51.0247752;https://www.santander.de/;DE;yes;;;Santander;yes;bank;Hindenburgstraße;51643;31;Gummersbach;Christian Maier;Monika Huber;77;21;1975
3732097004;6.4433346;51.1674133;https://www.santander.de/;;;+49 2166 128520;"Mo-Tu,Th 09:30-13:00,14:00 - 19:00; We,Fr 09:30-13:00,14:00 - 16:00; Sa-Su,PH off";Santander;yes;bank;;;;;Susanne Wagner;Thomas Müller;81;26;1972
3737827055;7.1381019;51.4803835;https://www.santander.de/;DE;yes;;;Santander;yes;bank;Hochstraße;44866;11;Bochum;Andreas Klein;Nicole Bauer;93;32;1959
